"episode_no","slug","title","source_book","source_chapter","source_verses_or_boundary","original_summary_seed","must_include","must_avoid","start_boundary","end_boundary","age_range","age_sensitivity","devotional_theme","suggested_activity_category","package_type","enabled"
"013","the-deliverance-of-nalakuvara-and-manigriva","The Deliverance of Nalakuvara and Manigriva","Krishna Book","10","Complete Krishna Book Chapter 10","This source-bounded episode follows The Deliverance of Nalakuvara and Manigriva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 10|chronological source boundary|devotional lesson","full source quotation|material from Chapter 9|material from Chapter 11","Opening of Krishna Book Chapter 10","Conclusion of Krishna Book Chapter 10","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"014","krishna-protects-the-calves-from-vatsasura-and-bakasura","Krishna Protects the Calves from Vatsasura and Bakasura","Krishna Book","11","Complete Krishna Book Chapter 11","This source-bounded episode follows Killing the Demons Vatsasura and Bakasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 11|chronological source boundary|devotional lesson","full source quotation|material from Chapter 10|material from Chapter 12","Opening of Krishna Book Chapter 11","Conclusion of Krishna Book Chapter 11","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"015","krishna-protects-everyone-from-the-aghasura-demon","Krishna Protects Everyone from the Aghasura Demon","Krishna Book","12","Complete Krishna Book Chapter 12","This source-bounded episode follows The Killing of the Aghasura Demon and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 12|chronological source boundary|devotional lesson","full source quotation|material from Chapter 11|material from Chapter 13","Opening of Krishna Book Chapter 12","Conclusion of Krishna Book Chapter 12","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"016","the-stealing-of-the-boys-and-calves-by-brahma","The Stealing of the Boys and Calves by Brahma","Krishna Book","13","Complete Krishna Book Chapter 13","This source-bounded episode follows The Stealing of the Boys and Calves by Brahma and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 13|chronological source boundary|devotional lesson","full source quotation|material from Chapter 12|material from Chapter 14","Opening of Krishna Book Chapter 13","Conclusion of Krishna Book Chapter 13","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"017","prayers-offered-by-lord-brahma-to-lord-krishna","Prayers Offered by Lord Brahma to Lord Krishna","Krishna Book","14","Complete Krishna Book Chapter 14","This source-bounded episode follows Prayers Offered by Lord Brahma to Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 14|chronological source boundary|devotional lesson","full source quotation|material from Chapter 13|material from Chapter 15","Opening of Krishna Book Chapter 14","Conclusion of Krishna Book Chapter 14","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"018","krishna-protects-everyone-from-dhenukasura","Krishna Protects Everyone from Dhenukasura","Krishna Book","15","Complete Krishna Book Chapter 15","This source-bounded episode follows The Killing of Dhenukasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 15|chronological source boundary|devotional lesson","full source quotation|material from Chapter 14|material from Chapter 16","Opening of Krishna Book Chapter 15","Conclusion of Krishna Book Chapter 15","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"019","subduing-kaliya","Subduing Kaliya","Krishna Book","16","Complete Krishna Book Chapter 16","This source-bounded episode follows Subduing Kaliya and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 16|chronological source boundary|devotional lesson","full source quotation|material from Chapter 15|material from Chapter 17","Opening of Krishna Book Chapter 16","Conclusion of Krishna Book Chapter 16","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"020","extinguishing-the-forest-fire","Extinguishing the Forest Fire","Krishna Book","17","Complete Krishna Book Chapter 17","This source-bounded episode follows Extinguishing the Forest Fire and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 17|chronological source boundary|devotional lesson","full source quotation|material from Chapter 16|material from Chapter 18","Opening of Krishna Book Chapter 17","Conclusion of Krishna Book Chapter 17","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"021","balarama-protects-his-friends-from-pralambasura","Balarama Protects His Friends from Pralambasura","Krishna Book","18","Complete Krishna Book Chapter 18","This source-bounded episode follows Killing the Demon Pralambasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 18|chronological source boundary|devotional lesson","full source quotation|material from Chapter 17|material from Chapter 19","Opening of Krishna Book Chapter 18","Conclusion of Krishna Book Chapter 18","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"022","devouring-the-forest-fire","Devouring the Forest Fire","Krishna Book","19","Complete Krishna Book Chapter 19","This source-bounded episode follows Devouring the Forest Fire and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 19|chronological source boundary|devotional lesson","full source quotation|material from Chapter 18|material from Chapter 20","Opening of Krishna Book Chapter 19","Conclusion of Krishna Book Chapter 19","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"023","description-of-autumn","Description of Autumn","Krishna Book","20","Complete Krishna Book Chapter 20","This source-bounded episode follows Description of Autumn and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 20|chronological source boundary|devotional lesson","full source quotation|material from Chapter 19|material from Chapter 21","Opening of Krishna Book Chapter 20","Conclusion of Krishna Book Chapter 20","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"024","the-gopis-attracted-by-the-flute","The Gopis Attracted by the Flute","Krishna Book","21","Complete Krishna Book Chapter 21","This source-bounded episode follows The Gopis Attracted by the Flute and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 21|chronological source boundary|devotional lesson","full source quotation|material from Chapter 20|material from Chapter 22","Opening of Krishna Book Chapter 21","Conclusion of Krishna Book Chapter 21","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"025","stealing-the-garments-of-the-unmarried-gopi-girls","Stealing the Garments of the Unmarried Gopi Girls","Krishna Book","22","Complete Krishna Book Chapter 22","This source-bounded episode follows Stealing the Garments of the Unmarried Gopi Girls and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 22|chronological source boundary|devotional lesson","full source quotation|material from Chapter 21|material from Chapter 23","Opening of Krishna Book Chapter 22","Conclusion of Krishna Book Chapter 22","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"026","delivering-the-wives-of-the-brahmanas-who-performed-sacrifices","Delivering the Wives of the Brahmanas Who Performed Sacrifices","Krishna Book","23","Complete Krishna Book Chapter 23","This source-bounded episode follows Delivering the Wives of the Brahmanas Who Performed Sacrifices and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 23|chronological source boundary|devotional lesson","full source quotation|material from Chapter 22|material from Chapter 24","Opening of Krishna Book Chapter 23","Conclusion of Krishna Book Chapter 23","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"027","worshiping-govardhana-hill","Worshiping Govardhana Hill","Krishna Book","24","Complete Krishna Book Chapter 24","This source-bounded episode follows Worshiping Govardhana Hill and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 24|chronological source boundary|devotional lesson","full source quotation|material from Chapter 23|material from Chapter 25","Opening of Krishna Book Chapter 24","Conclusion of Krishna Book Chapter 24","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"028","devastating-rainfall-in-vrindavana","Devastating Rainfall in Vrindavana","Krishna Book","25","Complete Krishna Book Chapter 25","This source-bounded episode follows Devastating Rainfall in Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 25|chronological source boundary|devotional lesson","full source quotation|material from Chapter 24|material from Chapter 26","Opening of Krishna Book Chapter 25","Conclusion of Krishna Book Chapter 25","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"029","wonderful-krishna","Wonderful Krishna","Krishna Book","26","Complete Krishna Book Chapter 26","This source-bounded episode follows Wonderful Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 26|chronological source boundary|devotional lesson","full source quotation|material from Chapter 25|material from Chapter 27","Opening of Krishna Book Chapter 26","Conclusion of Krishna Book Chapter 26","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"030","prayers-by-indra-the-king-of-heaven","Prayers by Indra, the King of Heaven","Krishna Book","27","Complete Krishna Book Chapter 27","This source-bounded episode follows Prayers by Indra, the King of Heaven and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 27|chronological source boundary|devotional lesson","full source quotation|material from Chapter 26|material from Chapter 28","Opening of Krishna Book Chapter 27","Conclusion of Krishna Book Chapter 27","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"031","releasing-nanda-maharaja-from-the-clutches-of-varuna","Releasing Nanda Maharaja from the Clutches of Varuna","Krishna Book","28","Complete Krishna Book Chapter 28","This source-bounded episode follows Releasing Nanda Maharaja from the Clutches of Varuna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 28|chronological source boundary|devotional lesson","full source quotation|material from Chapter 27|material from Chapter 29","Opening of Krishna Book Chapter 28","Conclusion of Krishna Book Chapter 28","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"032","the-rasa-dance-introduction","The Rasa Dance: Introduction","Krishna Book","29","Complete Krishna Book Chapter 29","This source-bounded episode follows The Rasa Dance: Introduction and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 29|chronological source boundary|devotional lesson","full source quotation|material from Chapter 28|material from Chapter 30","Opening of Krishna Book Chapter 29","Conclusion of Krishna Book Chapter 29","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"033","krishna-s-hiding-from-the-gopis","Krishna's Hiding from the Gopis","Krishna Book","30","Complete Krishna Book Chapter 30","This source-bounded episode follows Krishna's Hiding from the Gopis and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 30|chronological source boundary|devotional lesson","full source quotation|material from Chapter 29|material from Chapter 31","Opening of Krishna Book Chapter 30","Conclusion of Krishna Book Chapter 30","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"034","songs-by-the-gopis","Songs by the Gopis","Krishna Book","31","Complete Krishna Book Chapter 31","This source-bounded episode follows Songs by the Gopis and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 31|chronological source boundary|devotional lesson","full source quotation|material from Chapter 30|material from Chapter 32","Opening of Krishna Book Chapter 31","Conclusion of Krishna Book Chapter 31","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"035","krishna-returns-to-the-gopis","Krishna Returns to the Gopis","Krishna Book","32","Complete Krishna Book Chapter 32","This source-bounded episode follows Krishna Returns to the Gopis and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 32|chronological source boundary|devotional lesson","full source quotation|material from Chapter 31|material from Chapter 33","Opening of Krishna Book Chapter 32","Conclusion of Krishna Book Chapter 32","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"036","description-of-the-rasa-dance","Description of the Rasa Dance","Krishna Book","33","Complete Krishna Book Chapter 33","This source-bounded episode follows Description of the Rasa Dance and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 33|chronological source boundary|devotional lesson","full source quotation|material from Chapter 32|material from Chapter 34","Opening of Krishna Book Chapter 33","Conclusion of Krishna Book Chapter 33","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"037","vidyadhara-liberated-and-the-demon-sankhacuda-and-krishna-s-protection","Vidyadhara Liberated and the Demon Sankhacuda and Krishna's Protection","Krishna Book","34","Complete Krishna Book Chapter 34","This source-bounded episode follows Vidyadhara Liberated and the Demon Sankhacuda Killed and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 34|chronological source boundary|devotional lesson","full source quotation|material from Chapter 33|material from Chapter 35","Opening of Krishna Book Chapter 34","Conclusion of Krishna Book Chapter 34","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"038","the-gopis-feelings-of-separation","The Gopis' Feelings of Separation","Krishna Book","35","Complete Krishna Book Chapter 35","This source-bounded episode follows The Gopis' Feelings of Separation and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 35|chronological source boundary|devotional lesson","full source quotation|material from Chapter 34|material from Chapter 36","Opening of Krishna Book Chapter 35","Conclusion of Krishna Book Chapter 35","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"039","kamsa-sends-akrura-for-krishna","Kamsa Sends Akrura for Krishna","Krishna Book","36","Complete Krishna Book Chapter 36","This source-bounded episode follows Kamsa Sends Akrura for Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 36|chronological source boundary|devotional lesson","full source quotation|material from Chapter 35|material from Chapter 37","Opening of Krishna Book Chapter 36","Conclusion of Krishna Book Chapter 36","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"040","krishna-protects-vrindavana-from-kesi-and-vyomasura","Krishna Protects Vrindavana from Kesi and Vyomasura","Krishna Book","37","Complete Krishna Book Chapter 37","This source-bounded episode follows Killing the Kesi Demon and Vyomasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 37|chronological source boundary|devotional lesson","full source quotation|material from Chapter 36|material from Chapter 38","Opening of Krishna Book Chapter 37","Conclusion of Krishna Book Chapter 37","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"041","akrura-s-arrival-in-vrindavana","Akrura's Arrival in Vrindavana","Krishna Book","38","Complete Krishna Book Chapter 38","This source-bounded episode follows Akrura's Arrival in Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 38|chronological source boundary|devotional lesson","full source quotation|material from Chapter 37|material from Chapter 39","Opening of Krishna Book Chapter 38","Conclusion of Krishna Book Chapter 38","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"042","akrura-s-return-journey-and-his-vision-of-visnuloka-within-the-yamuna-","Akrura's Return Journey and His Vision of Visnuloka Within the Yamuna River","Krishna Book","39","Complete Krishna Book Chapter 39","This source-bounded episode follows Akrura's Return Journey and His Vision of Visnuloka Within the Yamuna River and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 39|chronological source boundary|devotional lesson","full source quotation|material from Chapter 38|material from Chapter 40","Opening of Krishna Book Chapter 39","Conclusion of Krishna Book Chapter 39","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"043","prayers-by-akrura","Prayers by Akrura","Krishna Book","40","Complete Krishna Book Chapter 40","This source-bounded episode follows Prayers by Akrura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 40|chronological source boundary|devotional lesson","full source quotation|material from Chapter 39|material from Chapter 41","Opening of Krishna Book Chapter 40","Conclusion of Krishna Book Chapter 40","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"044","krishna-enters-mathura","Krishna Enters Mathura","Krishna Book","41","Complete Krishna Book Chapter 41","This source-bounded episode follows Krishna Enters Mathura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 41|chronological source boundary|devotional lesson","full source quotation|material from Chapter 40|material from Chapter 42","Opening of Krishna Book Chapter 41","Conclusion of Krishna Book Chapter 41","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"045","the-breaking-of-the-bow-in-the-sacrificial-arena","The Breaking of the Bow in the Sacrificial Arena","Krishna Book","42","Complete Krishna Book Chapter 42","This source-bounded episode follows The Breaking of the Bow in the Sacrificial Arena and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 42|chronological source boundary|devotional lesson","full source quotation|material from Chapter 41|material from Chapter 43","Opening of Krishna Book Chapter 42","Conclusion of Krishna Book Chapter 42","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"046","krishna-protects-everyone-from-the-elephant-kuvalayapida","Krishna Protects Everyone from the Elephant Kuvalayapida","Krishna Book","43","Complete Krishna Book Chapter 43","This source-bounded episode follows The Killing of the Elephant Kuvalayapida and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 43|chronological source boundary|devotional lesson","full source quotation|material from Chapter 42|material from Chapter 44","Opening of Krishna Book Chapter 43","Conclusion of Krishna Book Chapter 43","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"047","krishna-protects-everyone-from-kamsa","Krishna Protects Everyone from Kamsa","Krishna Book","44","Complete Krishna Book Chapter 44","This source-bounded episode follows The Killing of Kamsa and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 44|chronological source boundary|devotional lesson","full source quotation|material from Chapter 43|material from Chapter 45","Opening of Krishna Book Chapter 44","Conclusion of Krishna Book Chapter 44","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"048","krishna-recovers-the-son-of-his-teacher","Krishna Recovers the Son of His Teacher","Krishna Book","45","Complete Krishna Book Chapter 45","This source-bounded episode follows Krishna Recovers the Son of His Teacher and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 45|chronological source boundary|devotional lesson","full source quotation|material from Chapter 44|material from Chapter 46","Opening of Krishna Book Chapter 45","Conclusion of Krishna Book Chapter 45","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"049","uddhava-visits-vrindavana","Uddhava Visits Vrindavana","Krishna Book","46","Complete Krishna Book Chapter 46","This source-bounded episode follows Uddhava Visits Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 46|chronological source boundary|devotional lesson","full source quotation|material from Chapter 45|material from Chapter 47","Opening of Krishna Book Chapter 46","Conclusion of Krishna Book Chapter 46","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"050","delivery-of-the-message-of-krishna-to-the-gopis","Delivery of the Message of Krishna to the Gopis","Krishna Book","47","Complete Krishna Book Chapter 47","This source-bounded episode follows Delivery of the Message of Krishna to the Gopis and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 47|chronological source boundary|devotional lesson","full source quotation|material from Chapter 46|material from Chapter 48","Opening of Krishna Book Chapter 47","Conclusion of Krishna Book Chapter 47","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"051","krishna-pleases-his-devotees","Krishna Pleases His Devotees","Krishna Book","48","Complete Krishna Book Chapter 48","This source-bounded episode follows Krishna Pleases His Devotees and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 48|chronological source boundary|devotional lesson","full source quotation|material from Chapter 47|material from Chapter 49","Opening of Krishna Book Chapter 48","Conclusion of Krishna Book Chapter 48","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"052","ill-motivated-dhrtarastra","Ill-motivated Dhrtarastra","Krishna Book","49","Complete Krishna Book Chapter 49","This source-bounded episode follows Ill-motivated Dhrtarastra and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 49|chronological source boundary|devotional lesson","full source quotation|material from Chapter 48|material from Chapter 50","Opening of Krishna Book Chapter 49","Conclusion of Krishna Book Chapter 49","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"053","krishna-erects-the-dvaraka-fort","Krishna Erects the Dvaraka Fort","Krishna Book","50","Complete Krishna Book Chapter 50","This source-bounded episode follows Krishna Erects the Dvaraka Fort and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 50|chronological source boundary|devotional lesson","full source quotation|material from Chapter 49|material from Chapter 51","Opening of Krishna Book Chapter 50","Conclusion of Krishna Book Chapter 50","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"054","the-deliverance-of-mucukunda","The Deliverance of Mucukunda","Krishna Book","51","Complete Krishna Book Chapter 51","This source-bounded episode follows The Deliverance of Mucukunda and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 51|chronological source boundary|devotional lesson","full source quotation|material from Chapter 50|material from Chapter 52","Opening of Krishna Book Chapter 51","Conclusion of Krishna Book Chapter 51","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
