chapter_no,slug,title,project,library_id,source_reference,scripture_reference,summary_seed,age_range,package_type,send_date,notes,must_include,must_avoid,start_boundary,end_boundary
022,prayers-offered-by-lord-brahma-to-lord-krishna,Prayers Offered by Lord Brahma to Lord Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 14,Complete Krishna Book Chapter 14,"This source-bounded episode follows Prayers Offered by Lord Brahma to Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 14|chronological source boundary|devotional lesson,full source quotation|material from Chapter 13|material from Chapter 15,Opening of Krishna Book Chapter 14,Conclusion of Krishna Book Chapter 14
023,krishna-protects-everyone-from-dhenukasura,Krishna Protects Everyone from Dhenukasura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 15,Complete Krishna Book Chapter 15,"This source-bounded episode follows The Killing of Dhenukasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=MINI_DRAMA,central event of Chapter 15|chronological source boundary|devotional lesson,full source quotation|material from Chapter 14|material from Chapter 16,Opening of Krishna Book Chapter 15,Conclusion of Krishna Book Chapter 15
024,subduing-kaliya,Subduing Kaliya,krishna_book_bedtime,krishna_book,Krishna Book Chapter 16,Complete Krishna Book Chapter 16,"This source-bounded episode follows Subduing Kaliya and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 16|chronological source boundary|devotional lesson,full source quotation|material from Chapter 15|material from Chapter 17,Opening of Krishna Book Chapter 16,Conclusion of Krishna Book Chapter 16
025,extinguishing-the-forest-fire,Extinguishing the Forest Fire,krishna_book_bedtime,krishna_book,Krishna Book Chapter 17,Complete Krishna Book Chapter 17,"This source-bounded episode follows Extinguishing the Forest Fire and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 17|chronological source boundary|devotional lesson,full source quotation|material from Chapter 16|material from Chapter 18,Opening of Krishna Book Chapter 17,Conclusion of Krishna Book Chapter 17
026,balarama-protects-his-friends-from-pralambasura,Balarama Protects His Friends from Pralambasura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 18,Complete Krishna Book Chapter 18,"This source-bounded episode follows Killing the Demon Pralambasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=FAMILY_MISSION,central event of Chapter 18|chronological source boundary|devotional lesson,full source quotation|material from Chapter 17|material from Chapter 19,Opening of Krishna Book Chapter 18,Conclusion of Krishna Book Chapter 18
027,devouring-the-forest-fire,Devouring the Forest Fire,krishna_book_bedtime,krishna_book,Krishna Book Chapter 19,Complete Krishna Book Chapter 19,"This source-bounded episode follows Devouring the Forest Fire and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 19|chronological source boundary|devotional lesson,full source quotation|material from Chapter 18|material from Chapter 20,Opening of Krishna Book Chapter 19,Conclusion of Krishna Book Chapter 19
028,description-of-autumn,Description of Autumn,krishna_book_bedtime,krishna_book,Krishna Book Chapter 20,Complete Krishna Book Chapter 20,"This source-bounded episode follows Description of Autumn and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 20|chronological source boundary|devotional lesson,full source quotation|material from Chapter 19|material from Chapter 21,Opening of Krishna Book Chapter 20,Conclusion of Krishna Book Chapter 20
029,the-gopis-attracted-by-the-flute,The Gopis Attracted by the Flute,krishna_book_bedtime,krishna_book,Krishna Book Chapter 21,Complete Krishna Book Chapter 21,"This source-bounded episode follows The Gopis Attracted by the Flute and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 21|chronological source boundary|devotional lesson,full source quotation|material from Chapter 20|material from Chapter 22,Opening of Krishna Book Chapter 21,Conclusion of Krishna Book Chapter 21
030,stealing-the-garments-of-the-unmarried-gopi-girls,Stealing the Garments of the Unmarried Gopi Girls,krishna_book_bedtime,krishna_book,Krishna Book Chapter 22,Complete Krishna Book Chapter 22,"This source-bounded episode follows Stealing the Garments of the Unmarried Gopi Girls and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=MATCHING_GAME,central event of Chapter 22|chronological source boundary|devotional lesson,full source quotation|material from Chapter 21|material from Chapter 23,Opening of Krishna Book Chapter 22,Conclusion of Krishna Book Chapter 22
031,delivering-the-wives-of-the-brahmanas-who-performed-sacrifices,Delivering the Wives of the Brahmanas Who Performed Sacrifices,krishna_book_bedtime,krishna_book,Krishna Book Chapter 23,Complete Krishna Book Chapter 23,"This source-bounded episode follows Delivering the Wives of the Brahmanas Who Performed Sacrifices and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 23|chronological source boundary|devotional lesson,full source quotation|material from Chapter 22|material from Chapter 24,Opening of Krishna Book Chapter 23,Conclusion of Krishna Book Chapter 23
032,worshiping-govardhana-hill,Worshiping Govardhana Hill,krishna_book_bedtime,krishna_book,Krishna Book Chapter 24,Complete Krishna Book Chapter 24,"This source-bounded episode follows Worshiping Govardhana Hill and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 24|chronological source boundary|devotional lesson,full source quotation|material from Chapter 23|material from Chapter 25,Opening of Krishna Book Chapter 24,Conclusion of Krishna Book Chapter 24
033,devastating-rainfall-in-vrindavana,Devastating Rainfall in Vrindavana,krishna_book_bedtime,krishna_book,Krishna Book Chapter 25,Complete Krishna Book Chapter 25,"This source-bounded episode follows Devastating Rainfall in Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 25|chronological source boundary|devotional lesson,full source quotation|material from Chapter 24|material from Chapter 26,Opening of Krishna Book Chapter 25,Conclusion of Krishna Book Chapter 25
034,wonderful-krishna,Wonderful Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 26,Complete Krishna Book Chapter 26,"This source-bounded episode follows Wonderful Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 26|chronological source boundary|devotional lesson,full source quotation|material from Chapter 25|material from Chapter 27,Opening of Krishna Book Chapter 26,Conclusion of Krishna Book Chapter 26
035,prayers-by-indra-the-king-of-heaven,"Prayers by Indra, the King of Heaven",krishna_book_bedtime,krishna_book,Krishna Book Chapter 27,Complete Krishna Book Chapter 27,"This source-bounded episode follows Prayers by Indra, the King of Heaven and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 27|chronological source boundary|devotional lesson,full source quotation|material from Chapter 26|material from Chapter 28,Opening of Krishna Book Chapter 27,Conclusion of Krishna Book Chapter 27
036,releasing-nanda-maharaja-from-the-clutches-of-varuna,Releasing Nanda Maharaja from the Clutches of Varuna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 28,Complete Krishna Book Chapter 28,"This source-bounded episode follows Releasing Nanda Maharaja from the Clutches of Varuna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 28|chronological source boundary|devotional lesson,full source quotation|material from Chapter 27|material from Chapter 29,Opening of Krishna Book Chapter 28,Conclusion of Krishna Book Chapter 28
037,the-rasa-dance-introduction,The Rasa Dance: Introduction,krishna_book_bedtime,krishna_book,Krishna Book Chapter 29,Complete Krishna Book Chapter 29,"This source-bounded episode follows The Rasa Dance: Introduction and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=STORY_MAP,central event of Chapter 29|chronological source boundary|devotional lesson,full source quotation|material from Chapter 28|material from Chapter 30,Opening of Krishna Book Chapter 29,Conclusion of Krishna Book Chapter 29
038,krishna-s-hiding-from-the-gopis,Krishna's Hiding from the Gopis,krishna_book_bedtime,krishna_book,Krishna Book Chapter 30,Complete Krishna Book Chapter 30,"This source-bounded episode follows Krishna's Hiding from the Gopis and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 30|chronological source boundary|devotional lesson,full source quotation|material from Chapter 29|material from Chapter 31,Opening of Krishna Book Chapter 30,Conclusion of Krishna Book Chapter 30
039,songs-by-the-gopis,Songs by the Gopis,krishna_book_bedtime,krishna_book,Krishna Book Chapter 31,Complete Krishna Book Chapter 31,"This source-bounded episode follows Songs by the Gopis and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 31|chronological source boundary|devotional lesson,full source quotation|material from Chapter 30|material from Chapter 32,Opening of Krishna Book Chapter 31,Conclusion of Krishna Book Chapter 31
040,krishna-returns-to-the-gopis,Krishna Returns to the Gopis,krishna_book_bedtime,krishna_book,Krishna Book Chapter 32,Complete Krishna Book Chapter 32,"This source-bounded episode follows Krishna Returns to the Gopis and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 32|chronological source boundary|devotional lesson,full source quotation|material from Chapter 31|material from Chapter 33,Opening of Krishna Book Chapter 32,Conclusion of Krishna Book Chapter 32
041,description-of-the-rasa-dance,Description of the Rasa Dance,krishna_book_bedtime,krishna_book,Krishna Book Chapter 33,Complete Krishna Book Chapter 33,"This source-bounded episode follows Description of the Rasa Dance and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=MINI_DRAMA,central event of Chapter 33|chronological source boundary|devotional lesson,full source quotation|material from Chapter 32|material from Chapter 34,Opening of Krishna Book Chapter 33,Conclusion of Krishna Book Chapter 33
